player,team,oart_mean,oart_std,n_passes,completion_rate,avg_chosen_prob,avg_options
Kendall Jamaal Waston Manley,Costa Rica,0.4809,0.3494,71,0.831,0.8022,7.2113
Kevin De Bruyne,Belgium,0.6507,0.3285,115,0.7043,0.6412,6.8957
Keylor Navas Gamboa,Costa Rica,0.7156,0.3833,48,0.5,0.5399,5.4792
Keysher Fuller Spence,Costa Rica,0.5619,0.3692,48,0.7292,0.764,6.4167
Kieffer Roberto Francisco Moore,Wales,0.6788,0.3313,50,0.64,0.6738,6.8
Kieran Trippier,England,0.3656,0.3453,148,0.8649,0.8297,5.9392
Kingsley Coman,France,0.3737,0.3465,60,0.8167,0.7969,6.5
Kléper Laveran Lima Ferreira,Portugal,0.3846,0.3311,242,0.8595,0.8578,7.1405
Ko Itakura,Japan,0.321,0.3118,102,0.9216,0.8864,7.451
Krystian Bielik,Poland,0.4618,0.3325,90,0.9111,0.8458,6.8333
Krépin Diatta,Senegal,0.4517,0.3534,63,0.8254,0.7943,6.1111
Kye Rowles,Australia,0.3575,0.342,164,0.8537,0.8666,6.4451
Kyle Walker,England,0.362,0.3313,149,0.906,0.8653,6.4362
Kylian Mbappé Lottin,France,0.532,0.357,201,0.7861,0.7015,6.0348
Kyung-Won Kwon,South Korea,0.3484,0.2531,34,0.9412,0.9434,4.6765
Lautaro Javier Martínez,Argentina,0.5092,0.3707,53,0.7358,0.7729,6.5472
Lawrence Ati-Zigi,Ghana,0.6179,0.3666,28,0.6071,0.5946,5.3929
Leander Dendoncker,Belgium,0.2637,0.2631,102,0.9902,0.926,7.9804
Leandro Daniel Paredes,Argentina,0.386,0.3006,208,0.9567,0.8933,7.9856
Leandro Trossard,Belgium,0.4889,0.3515,51,0.7647,0.818,7.1569
Leon Goretzka,Germany,0.5794,0.3617,54,0.7593,0.7501,7.0556
Leroy Sané,Germany,0.5612,0.3733,51,0.8431,0.7097,6.3137
Lionel Andrés Messi Cuccittini,Argentina,0.5353,0.3456,318,0.8365,0.7391,6.8208
Lisandro Martínez,Argentina,0.4186,0.3534,118,0.8305,0.8292,7.7288
Lovro Majer,Croatia,0.4296,0.3638,87,0.8161,0.791,6.5632
Lucas Tolentino Coelho de Lima,Brazil,0.4978,0.3244,178,0.8652,0.8282,6.6573
Luis Alberto Suárez Díaz,Uruguay,0.5984,0.3474,38,0.6316,0.712,6.0789
Luis Gerardo Chávez Magallón,Mexico,0.5346,0.3531,119,0.7479,0.7203,7.4538
Luka Modrić,Croatia,0.5285,0.331,496,0.8508,0.7837,6.619
Lukas Klostermann,Germany,0.1845,0.2412,38,0.9737,0.9573,5.9211
Luke Shaw,England,0.4348,0.3704,337,0.8427,0.8033,6.2107
Manuel Neuer,Germany,0.5021,0.372,90,0.8778,0.856,4.2222
Manuel Obafemi Akanji,Switzerland,0.4175,0.3476,203,0.8867,0.8372,7.1478
Marcelo Brozović,Croatia,0.459,0.31,484,0.8905,0.8684,6.6322
Marco Asensio Willemsen,Spain,0.5192,0.3806,112,0.7768,0.7356,6.6161
Marcos Aoás Corrêa,Brazil,0.3487,0.2967,298,0.9597,0.9113,6.7315
Marcos Javier Acuña,Argentina,0.4278,0.3719,149,0.7785,0.7826,7.0201
Marcos Llorente Moreno,Spain,0.2925,0.2952,95,0.9158,0.9123,6.5579
Marcus Rashford,England,0.437,0.3492,62,0.7258,0.7957,6.4516
Marcus Thuram,France,0.5573,0.3586,34,0.7941,0.7824,6.4118
Mario Pašalić,Croatia,0.4888,0.365,81,0.8395,0.8118,6.4198
Mark Anthony Kaye,Canada,0.3647,0.3431,52,0.8654,0.8747,5.9038
Marko Livaja,Croatia,0.7254,0.3045,52,0.5962,0.6476,6.3462
Marten de Roon,Netherlands,0.4021,0.328,115,0.8087,0.885,7.3826
Martin Hongla Yma II,Cameroon,0.4669,0.3623,53,0.8113,0.8186,6.283
Mason Mount,England,0.4692,0.3407,68,0.8676,0.8246,6.25
Mateo Kovačić,Croatia,0.4447,0.3268,395,0.9114,0.8595,6.7544
Matheus Luiz Nunes,Portugal,0.4927,0.3468,31,0.7742,0.7814,5.7742
Mathew Leckie,Australia,0.5496,0.343,88,0.6932,0.7137,6.375
Mathew Ryan,Australia,0.5687,0.411,79,0.7089,0.6879,5.3924
Mathias Jensen,Denmark,0.5381,0.3318,54,0.7963,0.7772,5.8148
Mathías Olivera Miramontes,Uruguay,0.4746,0.3792,105,0.8,0.7688,6.2476
Matthew Charles Turner,United States,0.6093,0.387,81,0.8025,0.7434,4.3333
Matthijs de Ligt,Netherlands,0.327,0.2911,37,0.8919,0.8357,7.4865
Matty Cash,Poland,0.4238,0.3759,122,0.7787,0.7796,6.541
Mattéo Guendouzi Olié,France,0.3028,0.3643,31,0.871,0.8567,6.7097
Matías Vecino Falero,Uruguay,0.5294,0.354,96,0.7812,0.7867,6.2917
Maya Yoshida,Japan,0.3686,0.3302,217,0.894,0.8846,6.9355
Mehdi Taremi,Iran,0.6277,0.3619,72,0.7361,0.7323,5.7083
Mehdi Torabi,Iran,0.52,0.3804,33,0.8485,0.7777,6.1212
Memphis Depay,Netherlands,0.5138,0.3703,114,0.7368,0.751,6.7632
Meshaal Aissa Barsham,Qatar,0.6102,0.4055,33,0.697,0.673,5.7576
Michael Steveen Estrada Martínez,Ecuador,0.6328,0.3361,42,0.6905,0.676,5.6905
Miki Yamane,Japan,0.5362,0.4149,27,0.7407,0.6863,7.037
Mikkel Damsgaard,Denmark,0.5426,0.3291,64,0.8125,0.7657,6.1094
Milad Mohammadi,Iran,0.5926,0.3657,55,0.6727,0.7049,6.7455
Milan Borjan,Canada,0.4916,0.3821,48,0.7708,0.7576,5.0417
Milos Veljkovic,Serbia,0.3807,0.3524,97,0.8763,0.8438,7.0825
Miloš Degenek,Australia,0.5407,0.4081,69,0.7681,0.7187,6.8406
Min Jae Kim,South Korea,0.431,0.3447,172,0.8779,0.8709,5.5988
Mislav Oršić,Croatia,0.5581,0.3718,44,0.7727,0.7082,6.4091
Mitchell Thomas Duke,Australia,0.6709,0.3668,62,0.5161,0.6461,6.4677
Mohamed Dräger,Tunisia,0.5873,0.3971,37,0.6486,0.6515,5.6486
Mohamed Salisu,Ghana,0.5454,0.3288,134,0.7313,0.7574,6.4179
Mohammed Al Burayk,Saudi Arabia,0.4707,0.3882,42,0.8333,0.7723,6.0476
Mohammed Kanoo,Saudi Arabia,0.5123,0.3453,128,0.8125,0.7925,6.3906
Mohammed Khalil Al Owais,Saudi Arabia,0.6782,0.3456,50,0.54,0.5822,6.02
Mohammed Kudus,Ghana,0.5752,0.3561,77,0.7273,0.7516,6.1688
Moisés Isaac Caicedo Corozo,Ecuador,0.4969,0.3585,137,0.8175,0.8215,6.2555
Montassar Omar Talbi,Tunisia,0.4642,0.375,117,0.8718,0.8472,5.4957
Moon-Hwan Kim,South Korea,0.4007,0.3626,193,0.8497,0.8142,5.5285
Morteza Pouraliganji,Iran,0.5173,0.3683,106,0.7075,0.7746,6.1226
Nader Ghandri,Tunisia,0.371,0.3567,28,0.8929,0.8697,5.3571
Nahuel Molina Lucero,Argentina,0.3874,0.3266,280,0.8286,0.8431,7.0786
Nampalys Mendy,Senegal,0.3283,0.3197,142,0.8873,0.8667,7.1761
Nathan Aké,Netherlands,0.373,0.297,296,0.9122,0.8934,7.0135
Nathaniel Atkinson,Australia,0.3917,0.3389,27,0.7778,0.8431,6.7037
Nawaf Shaker Al Abid,Saudi Arabia,0.3995,0.3694,34,0.8824,0.8106,5.9412
Nayef Aguerd,Morocco,0.3906,0.335,139,0.8849,0.8741,6.1367
Naïm Sliti,Tunisia,0.6651,0.3607,42,0.5476,0.607,6.3333
Neco Williams,Wales,0.5109,0.3753,74,0.7297,0.7083,6.3649
Nemanja Gudelj,Serbia,0.3975,0.3268,44,0.8409,0.8736,7.8636
Nemanja Maksimović,Serbia,0.4462,0.3093,50,0.88,0.8631,6.84
Neymar da Silva Santos Junior,Brazil,0.5697,0.3268,137,0.7956,0.7484,6.2701
Ngoran Suiru Fai Collins,Cameroon,0.5334,0.3574,125,0.704,0.7244,6.024
Nicholas Williams Arthuer,Spain,0.3431,0.3804,52,0.8462,0.8017,6.1154
Nico Elvedi,Switzerland,0.3608,0.3152,131,0.9389,0.8967,6.7786
Nico Schlotterbeck,Germany,0.3807,0.3371,106,0.9057,0.8639,6.3113
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,0.4515,0.38,85,0.8471,0.8493,5.0
Nicolás Alejandro Tagliafico,Argentina,0.4448,0.3562,128,0.8438,0.8063,7.0078
