frame,time_sec,tracker_id,class,confidence,center_x,center_y,pitch_x,pitch_y
9,0.36,26,person,0.679,370.7,250.7,52.29129,44.240036
9,0.36,8,person,0.661,754.8,134.5,82.21997,30.51825
9,0.36,7,person,0.58,331.9,152.7,49.937412,28.625326
9,0.36,47,person,0.571,206.7,104.7,40.152153,18.465296
9,0.36,17,person,0.523,626.5,124.1,72.790115,27.19159
9,0.36,55,person,0.522,790.6,134.1,84.932846,30.873287
9,0.36,15,person,0.502,812.2,409.0,77.908035,67.589554
9,0.36,6,person,0.474,567.6,271.3,65.4236,49.078636
9,0.36,21,person,0.426,455.9,369.8,56.9991,60.177322
9,0.36,11,person,0.422,369.5,164.5,52.702244,31.046719
9,0.36,31,person,0.419,588.3,263.8,66.94531,48.279755
10,0.4,13,person,0.78,325.9,450.0,48.772163,67.685745
10,0.4,3,sports ball,0.776,376.8,327.5,52.29909,54.42581
10,0.4,1,person,0.768,649.4,257.1,71.202644,47.991856
10,0.4,4,person,0.682,783.0,220.6,81.340126,44.277023
10,0.4,17,person,0.641,633.2,124.1,73.30371,27.272379
10,0.4,2,person,0.617,827.2,169.0,86.29718,36.996735
10,0.4,8,person,0.612,763.2,135.6,82.813286,30.803905
10,0.4,26,person,0.6,374.4,252.0,52.538494,44.461483
10,0.4,55,person,0.565,799.0,135.2,85.52238,31.15835
10,0.4,47,person,0.558,211.3,103.4,40.51142,18.276323
10,0.4,21,person,0.489,455.4,367.6,56.987164,59.92119
10,0.4,31,person,0.482,590.0,265.4,67.03046,48.512848
10,0.4,15,person,0.464,819.6,409.5,78.33361,67.70499
10,0.4,7,person,0.462,336.6,149.8,50.303894,28.185602
10,0.4,6,person,0.351,567.9,269.2,65.4791,48.800594
11,0.44,1,person,0.808,655.5,257.3,71.6103,48.08114
11,0.44,3,sports ball,0.749,377.5,327.8,52.342598,54.469433
11,0.44,4,person,0.737,787.8,221.3,81.65061,44.428185
11,0.44,17,person,0.703,639.4,124.5,73.76773,27.417181
11,0.44,13,person,0.696,332.3,449.4,49.14723,67.67837
11,0.44,47,person,0.657,218.2,104.7,41.069973,18.610697
11,0.44,8,person,0.608,771.1,135.6,83.40805,30.89708
11,0.44,26,person,0.571,377.2,253.0,52.725067,44.63097
11,0.44,55,person,0.557,806.4,135.6,86.06296,31.31299
11,0.44,6,person,0.543,578.2,270.3,66.150734,49.051544
11,0.44,7,person,0.534,343.4,151.2,50.81286,28.505093
11,0.44,15,person,0.419,825.5,405.4,78.78669,67.32817
11,0.44,11,person,0.356,380.9,165.0,53.548573,31.261309
11,0.44,31,person,0.35,595.3,261.8,67.45414,48.08006
12,0.48,1,person,0.812,663.9,257.2,72.17988,48.15303
12,0.48,13,person,0.773,339.2,449.3,49.55054,67.72603
12,0.48,26,person,0.634,381.1,253.7,52.988472,44.76948
12,0.48,17,person,0.625,646.1,124.3,74.286446,27.462872
12,0.48,4,person,0.596,792.7,220.8,82.00681,44.408264
12,0.48,8,person,0.556,778.5,135.9,83.953735,31.035015
12,0.48,3,sports ball,0.519,378.1,328.3,52.378635,54.5367
12,0.48,47,person,0.509,223.1,104.0,41.45731,18.53978
12,0.48,6,person,0.427,582.1,271.1,66.39785,49.197613
12,0.48,15,person,0.386,831.5,410.5,79.01204,67.91068
12,0.48,10,person,0.347,586.0,265.8,66.7542,48.526302
12,0.48,55,person,0.323,813.8,135.5,86.62295,31.383238
13,0.52,1,person,0.818,670.9,256.8,72.66187,48.169918
13,0.52,26,person,0.738,385.4,255.9,53.269577,45.12148
13,0.52,4,person,0.735,798.2,222.1,82.34538,44.65251
13,0.52,13,person,0.685,348.3,448.6,50.084007,67.731125
