frame,time_sec,tracker_id,class,confidence,center_x,center_y
5,0.2,6,person,0.643,542.7,272.9
5,0.2,7,person,0.625,319.2,151.4
5,0.2,19,person,0.596,503.0,399.1
5,0.2,15,person,0.554,784.9,410.4
5,0.2,17,person,0.536,604.6,123.0
5,0.2,26,person,0.478,359.6,244.0
5,0.2,11,person,0.454,350.3,162.4
5,0.2,31,person,0.433,567.9,269.1
5,0.2,5,person,0.419,493.9,399.8
5,0.2,3,sports ball,0.377,380.6,325.0
5,0.2,21,person,0.34,450.2,378.7
6,0.24,26,person,0.764,363.4,243.7
6,0.24,13,person,0.764,294.4,454.4
6,0.24,1,person,0.739,622.8,260.1
6,0.24,2,person,0.719,796.7,167.3
6,0.24,8,person,0.644,733.1,134.4
6,0.24,4,person,0.642,759.1,216.9
6,0.24,31,person,0.621,574.1,266.4
6,0.24,5,person,0.598,495.9,398.5
6,0.24,7,person,0.593,319.8,151.9
6,0.24,3,sports ball,0.578,379.1,325.3
6,0.24,15,person,0.534,790.6,411.0
6,0.24,17,person,0.508,609.4,122.8
6,0.24,21,person,0.483,451.2,376.1
6,0.24,6,person,0.461,545.4,272.3
6,0.24,47,person,0.407,191.0,102.1
6,0.24,11,person,0.372,354.7,162.9
7,0.28,26,person,0.785,366.9,245.6
7,0.28,13,person,0.783,302.3,452.5
7,0.28,1,person,0.765,629.0,258.6
7,0.28,3,sports ball,0.758,377.7,325.6
7,0.28,2,person,0.739,804.2,168.5
7,0.28,16,person,0.732,363.4,165.1
7,0.28,4,person,0.707,766.1,217.8
7,0.28,7,person,0.677,323.0,151.7
7,0.28,8,person,0.643,739.4,134.3
7,0.28,31,person,0.593,578.4,266.2
7,0.28,21,person,0.585,451.6,375.2
7,0.28,55,person,0.574,775.9,133.5
7,0.28,47,person,0.563,194.7,102.9
7,0.28,6,person,0.548,552.8,271.9
7,0.28,17,person,0.498,615.3,123.4
7,0.28,15,person,0.498,798.2,411.0
7,0.28,11,person,0.449,360.1,165.1
7,0.28,5,person,0.312,492.7,397.3
8,0.32,3,sports ball,0.803,377.1,326.0
8,0.32,1,person,0.785,635.8,258.1
8,0.32,26,person,0.771,368.5,248.5
8,0.32,13,person,0.75,310.6,450.9
