frame,time_sec,class,confidence,center_x,center_y,width,height
30,1.2,sports ball,0.317,401.1,335.6,9.1,11.5
35,1.4,person,0.768,793.5,259.3,27.2,50.6
35,1.4,person,0.736,673.7,273.3,26.4,47.2
35,1.4,person,0.705,705.3,249.0,16.1,45.0
35,1.4,person,0.698,498.3,425.1,24.4,71.0
35,1.4,person,0.684,422.8,373.4,40.9,50.1
35,1.4,person,0.668,418.6,304.0,16.7,50.3
35,1.4,person,0.641,466.1,175.0,22.1,37.6
35,1.4,person,0.622,637.4,266.6,20.8,39.8
35,1.4,person,0.582,462.4,335.1,35.1,44.4
35,1.4,person,0.524,173.0,234.8,19.3,37.7
35,1.4,person,0.52,742.5,140.2,21.6,33.0
35,1.4,person,0.508,728.8,69.4,12.5,28.1
35,1.4,person,0.502,407.4,153.6,15.3,33.5
35,1.4,person,0.488,313.8,124.7,19.0,35.6
35,1.4,person,0.419,530.9,185.5,22.2,35.2
35,1.4,person,0.381,740.3,138.0,15.5,28.5
35,1.4,person,0.378,741.4,424.7,29.7,34.2
35,1.4,person,0.36,529.6,181.5,20.5,28.9
35,1.4,person,0.324,456.8,332.5,21.3,38.8
40,1.6,person,0.797,532.5,421.0,24.0,75.4
40,1.6,person,0.743,726.4,253.2,21.2,50.1
40,1.6,person,0.728,413.9,312.8,26.1,56.2
40,1.6,person,0.705,449.6,331.3,24.5,52.4
40,1.6,person,0.696,180.2,235.6,28.6,34.7
40,1.6,person,0.692,414.0,151.9,28.9,34.8
40,1.6,person,0.692,680.3,273.4,18.4,44.8
40,1.6,person,0.662,821.5,258.2,27.3,52.2
40,1.6,person,0.645,641.6,270.5,22.7,45.5
40,1.6,person,0.635,396.1,370.1,36.9,54.6
40,1.6,person,0.552,757.7,140.5,16.4,34.0
40,1.6,person,0.5,685.6,273.6,28.8,46.3
40,1.6,person,0.462,470.9,174.0,16.6,38.4
40,1.6,person,0.437,542.0,182.6,30.6,34.9
40,1.6,person,0.409,748.9,67.9,15.9,31.7
40,1.6,person,0.4,537.9,177.8,20.3,25.2
45,1.8,person,0.764,371.3,364.3,34.8,59.7
45,1.8,person,0.738,695.9,273.4,32.6,47.3
45,1.8,person,0.72,564.9,416.3,26.0,70.6
45,1.8,person,0.65,751.1,255.4,15.3,43.8
45,1.8,person,0.646,777.0,138.8,23.7,34.5
45,1.8,person,0.636,417.4,148.8,22.3,36.7
45,1.8,person,0.577,441.7,320.6,35.2,50.3
45,1.8,person,0.557,409.6,311.8,25.4,47.0
45,1.8,person,0.543,326.0,123.0,15.5,32.8
45,1.8,person,0.539,181.1,238.2,22.2,34.8
45,1.8,person,0.474,547.0,181.1,16.8,31.6
45,1.8,person,0.467,550.1,182.6,20.7,34.7
45,1.8,person,0.417,178.5,236.4,17.2,32.3
45,1.8,person,0.397,646.7,272.4,33.3,48.6
45,1.8,person,0.362,741.7,425.2,30.4,34.0
45,1.8,person,0.353,642.4,270.2,24.7,43.8
45,1.8,person,0.326,639.9,266.3,17.1,35.7
45,1.8,person,0.311,476.8,169.4,15.8,30.9
